Date,Open,High,Low,Close,Adj Close,Volume
2019-09-26,684.489990,692.090027,683.840027,691.460022,691.460022,613200000
2019-09-27,689.250000,690.880005,686.419983,688.169983,688.169983,477400000
2019-09-30,686.390015,687.760010,681.719971,685.919983,685.919983,600000000
2019-10-01,687.239990,687.500000,679.340027,679.849976,679.849976,480200000
2019-10-02,678.260010,682.619995,672.440002,672.440002,672.440002,502800000
2019-10-03,669.250000,673.809998,665.820007,671.820007,671.820007,493000000
2019-10-04,677.460022,678.419983,674.260010,676.650024,676.650024,406800000
2019-10-07,678.669983,679.049988,664.650024,665.590027,665.590027,447800000
2019-10-08,670.119995,674.130005,665.580017,669.419983,669.419983,609000000
2019-10-09,666.599976,669.289978,664.070007,664.130005,664.130005,594400000
2019-10-10,662.690002,665.929993,659.840027,660.640015,660.640015,673100000
2019-10-11,662.400024,672.849976,662.400024,672.710022,672.710022,510800000
2019-10-14,676.590027,679.909973,672.869995,676.880005,676.880005,504900000
2019-10-15,676.719971,680.140015,675.690002,679.440002,679.440002,513300000
2019-10-16,680.030029,683.380005,675.419983,679.500000,679.500000,665500000
2019-10-17,679.219971,683.250000,678.549988,683.250000,683.250000,556300000
2019-10-18,683.739990,685.000000,679.419983,681.659973,681.659973,1180400000
2019-10-21,683.989990,687.510010,680.359985,683.729980,683.729980,639700000
2019-10-22,684.530029,691.270020,682.219971,691.270020,691.270020,582700000
2019-10-23,690.650024,697.130005,687.919983,697.130005,697.130005,747800000
2019-10-24,699.710022,709.169983,697.599976,709.169983,709.169983,881900000
2019-10-25,708.500000,709.000000,691.250000,692.979980,692.979980,636800000
2019-10-28,693.710022,697.130005,691.549988,696.859985,696.859985,579100000
2019-10-29,695.460022,699.450012,694.200012,699.450012,699.450012,817700000
2019-10-30,703.460022,703.700012,694.979980,699.349976,699.349976,589400000
2019-10-31,699.090027,700.260010,684.380005,686.919983,686.919983,794300000
2019-11-01,685.599976,689.159973,682.799988,685.250000,685.250000,710300000
2019-11-04,687.070007,690.590027,681.190002,681.190002,681.190002,626300000
2019-11-05,684.070007,696.650024,683.590027,696.650024,696.650024,755400000
2019-11-06,697.010010,697.109985,690.030029,692.809998,692.809998,764200000
2019-11-07,696.200012,696.250000,679.369995,686.309998,686.309998,649600000
2019-11-08,684.280029,690.400024,681.130005,689.719971,689.719971,729000000
2019-11-11,687.440002,690.280029,684.250000,686.750000,686.750000,493000000
2019-11-12,684.669983,692.280029,683.409973,692.280029,692.280029,590200000
2019-11-13,691.500000,692.419983,683.549988,685.219971,685.219971,586000000
2019-11-14,683.090027,684.520020,672.380005,676.840027,676.840027,638800000
2019-11-15,679.030029,681.640015,674.340027,680.320007,680.320007,507300000
2019-11-18,679.280029,682.039978,675.539978,678.039978,678.039978,520100000
2019-11-19,678.869995,687.049988,678.109985,687.049988,687.049988,509300000
2019-11-20,684.520020,687.119995,682.010010,687.119995,687.119995,580300000
2019-11-21,683.510010,684.380005,679.010010,679.690002,679.690002,505700000
2019-11-22,680.150024,683.169983,677.619995,679.690002,679.690002,541800000
2019-11-25,680.729980,681.679993,672.799988,675.979980,675.979980,548400000
2019-11-26,679.770020,679.940002,666.169983,666.169983,666.169983,1794900000
2019-11-27,667.780029,673.640015,664.440002,667.469971,667.469971,619000000
2019-11-28,666.460022,673.549988,657.710022,660.080017,660.080017,641600000
2019-11-29,660.070007,671.250000,657.219971,667.440002,667.440002,542100000
2019-12-02,669.700012,680.530029,669.479980,680.530029,680.530029,609500000
2019-12-03,679.070007,682.830017,675.700012,679.900024,679.900024,590300000
2019-12-04,677.989990,680.409973,675.299988,678.070007,678.070007,648100000
2019-12-05,680.789978,686.940002,680.549988,686.609985,686.609985,841800000
2019-12-06,686.909973,692.890015,683.609985,692.890015,692.890015,639500000
2019-12-09,693.869995,694.820007,689.460022,691.729980,691.729980,821500000
2019-12-10,689.880005,694.020020,689.690002,690.619995,690.619995,656200000
2019-12-11,692.659973,694.200012,687.859985,688.890015,688.890015,594300000
2019-12-12,689.750000,690.770020,679.450012,679.450012,679.450012,720700000
2019-12-13,686.679993,692.599976,685.940002,692.599976,692.599976,819500000
2019-12-16,692.500000,698.080017,692.299988,693.460022,693.460022,884200000
2019-12-17,694.369995,697.969971,691.369995,697.969971,697.969971,763400000
2019-12-18,696.429993,697.559998,692.059998,697.559998,697.559998,746500000
2019-12-19,696.960022,697.669983,690.700012,692.549988,692.549988,650800000
2019-12-20,692.770020,703.150024,689.119995,703.150024,703.150024,799400000
2019-12-23,705.000000,705.489990,696.349976,702.460022,702.460022,504800000
2019-12-26,700.940002,705.359985,700.799988,703.780029,703.780029,421900000
2019-12-27,704.770020,706.229980,702.549988,704.700012,704.700012,472500000
2019-12-30,704.359985,705.780029,698.090027,698.090027,698.090027,490800000
2020-01-02,701.380005,702.940002,691.630005,694.390015,694.390015,412000000
2020-01-03,698.320007,699.450012,692.130005,699.450012,699.450012,635500000
2020-01-06,695.979980,696.950012,689.070007,690.059998,690.059998,702000000
2020-01-07,691.169983,693.780029,686.570007,692.539978,692.539978,734800000
2020-01-08,688.330017,688.950012,683.719971,685.010010,685.010010,755300000
2020-01-09,687.789978,691.380005,686.539978,691.380005,691.380005,605100000
2020-01-10,693.510010,694.320007,689.979980,690.739990,690.739990,550800000
2020-01-13,693.219971,695.380005,690.340027,694.020020,694.020020,614400000
2020-01-14,694.710022,696.510010,692.049988,696.510010,696.510010,735400000
2020-01-15,696.580017,698.080017,687.469971,693.080017,693.080017,892400000
2020-01-16,692.979980,694.469971,688.419983,694.469971,694.469971,704800000
2020-01-17,694.010010,695.890015,689.289978,692.510010,692.510010,530000000
2020-01-20,693.119995,694.179993,686.989990,687.900024,687.900024,685600000
